index,Date/Time,100m_N Avg [m/s],100m_N Std [m/s],Pressure [mbar],98m WV [°],78m WV [°],48m WV [°],Temp 5m [°C],Hum 5m [%]
0,2017-11-01 00:00:00,3.285,0.177,1009.4,11.3,0.0,355.8,22.5,62.5
1,2017-11-01 00:10:00,3.017,0.177,1009.3,14.1,1.4,358.6,22.5,61.5
2,2017-11-01 00:20:00,3.066,0.145,1009.4,29.5,12.7,1.4,22.6,61.0
3,2017-11-01 00:30:00,3.351,0.205,1009.4,33.8,16.9,2.8,22.9,59.8
4,2017-11-01 00:40:00,3.039,0.102,1009.4,26.7,7.0,358.6,23.2,57.4
5,2017-11-01 00:50:00,2.796,0.205,1009.3,35.2,18.3,0.0,23.3,54.9
6,2017-11-01 01:00:00,2.499,0.102,1009.1,29.5,23.9,0.0,24.0,51.0
7,2017-11-01 01:10:00,3.069,0.205,1009.0,33.8,26.7,2.8,23.8,50.8
8,2017-11-01 01:20:00,3.201,0.145,1009.0,45.0,38.0,21.1,23.6,50.7
9,2017-11-01 01:30:00,3.403,0.177,1008.8,40.8,33.8,18.3,23.6,48.0
10,2017-11-01 01:40:00,3.697,0.102,1008.8,42.2,32.3,19.7,24.0,46.5
11,2017-11-01 01:50:00,4.402,0.422,1008.8,42.2,35.2,21.1,23.6,47.7
12,2017-11-01 02:00:00,4.606,0.307,1008.7,45.0,36.6,22.5,23.1,49.8
13,2017-11-01 02:10:00,4.031,0.145,1008.6,47.8,39.4,19.7,23.2,47.0
14,2017-11-01 02:20:00,3.638,0.102,1008.6,46.4,36.6,15.5,23.5,45.7
15,2017-11-01 02:30:00,3.651,0.102,1008.5,40.8,30.9,16.9,23.2,47.6
16,2017-11-01 02:40:00,3.638,0.251,1008.4,39.4,30.9,16.9,23.1,47.1
17,2017-11-01 02:50:00,4.203,0.145,1008.4,33.8,19.7,7.0,23.3,44.4
18,2017-11-01 03:00:00,4.166,0.102,1008.4,28.1,12.7,2.8,23.7,42.8
19,2017-11-01 03:10:00,4.903,0.355,1008.4,29.5,15.5,2.8,23.6,43.9
20,2017-11-01 03:20:00,4.866,0.251,1008.3,43.6,26.7,4.2,23.3,45.3
21,2017-11-01 03:30:00,4.859,0.205,1008.3,39.4,19.7,1.4,23.0,46.0
22,2017-11-01 03:40:00,4.544,0.307,1008.3,32.3,11.3,1.4,23.0,45.4
23,2017-11-01 03:50:00,4.363,0.355,1008.3,18.3,2.8,1.4,22.6,46.6
24,2017-11-01 04:00:00,5.202,0.307,1008.2,5.6,1.4,0.0,22.4,46.8
25,2017-11-01 04:10:00,5.114,0.34,1008.2,11.3,2.8,1.4,22.4,44.8
26,2017-11-01 04:20:00,5.163,0.355,1008.2,11.3,2.8,1.4,23.6,39.8
