Date/Time,100m_N Avg [m/s],Pressure 5m [mbar],98m WV [°],78m WV [°],48m WV [°],Temp 5m [°C],Hum 5m
2018-12-01 00:00:00,10.654,1012.2,52.0,45.0,29.5,22.5,46.5
2018-12-01 00:10:00,10.531,1012.1,53.4,47.8,32.3,22.2,47.5
2018-12-01 00:20:00,9.976,1012.2,53.4,46.4,29.5,22.1,48.3
2018-12-01 00:30:00,9.617,1012.1,52.0,46.4,30.9,22.2,48.5
2018-12-01 00:40:00,9.001,1012.0,53.4,47.8,32.3,22.2,49.0
2018-12-01 00:50:00,8.841,1012.0,52.0,46.4,33.8,22.2,49.3
2018-12-01 01:00:00,8.228,1011.9,49.2,43.6,28.1,22.2,49.3
2018-12-01 01:10:00,8.628,1011.8,49.2,40.8,25.3,22.4,49.2
2018-12-01 01:20:00,8.679,1011.8,47.8,39.4,22.5,22.4,49.4
2018-12-01 01:30:00,8.964,1011.7,47.8,35.2,23.9,21.6,51.6
2018-12-01 01:40:00,9.35,1011.6,49.2,39.4,25.3,21.5,51.8
2018-12-01 01:50:00,9.568,1011.6,47.8,39.4,26.7,21.4,52.0
2018-12-01 02:00:00,9.671,1011.5,47.8,40.8,25.3,20.7,53.7
2018-12-01 02:10:00,9.254,1011.4,45.0,38.0,23.9,20.2,55.1
2018-12-01 02:20:00,9.377,1011.3,46.4,39.4,23.9,19.8,56.4
2018-12-01 02:30:00,9.401,1011.2,46.4,39.4,25.3,19.7,57.0
2018-12-01 02:40:00,9.802,1011.0,45.0,36.6,22.5,19.7,56.8
2018-12-01 02:50:00,9.973,1010.9,45.0,35.2,21.1,19.6,56.6
2018-12-01 03:00:00,10.349,1010.8,47.8,39.4,23.9,19.8,55.4
2018-12-01 03:10:00,10.106,1010.7,46.4,38.0,22.5,20.2,54.1
2018-12-01 03:20:00,9.91,1010.7,46.4,38.0,21.1,19.7,55.8
2018-12-01 03:30:00,9.831,1010.7,45.0,38.0,21.1,19.6,56.2
2018-12-01 03:40:00,9.247,1010.7,43.6,33.8,16.9,19.2,57.3
2018-12-01 03:50:00,9.421,1010.5,45.0,35.2,19.7,19.1,58.2
2018-12-01 04:00:00,9.04,1010.5,43.6,32.3,15.5,18.7,59.8
2018-12-01 04:10:00,8.5,1010.5,39.4,28.1,9.8,18.6,60.3
2018-12-01 04:20:00,8.697,1010.5,39.4,28.1,9.8,18.5,60.4
2018-12-01 04:30:00,8.512,1010.5,38.0,28.1,9.8,18.2,61.3
2018-12-01 04:40:00,8.736,1010.4,36.6,26.7,11.3,18.2,60.9
2018-12-01 04:50:00,8.338,1010.4,35.2,25.3,8.4,18.2,60.8
2018-12-01 05:00:00,8.247,1010.5,38.0,28.1,11.3,18.2,60.2
2018-12-01 05:10:00,8.252,1010.4,35.2,25.3,9.8,18.6,59.0
2018-12-01 05:20:00,7.916,1010.5,32.3,23.9,7.0,18.2,60.1
2018-12-01 05:30:00,8.21,1010.5,35.2,25.3,9.8,18.1,60.7
2018-12-01 05:40:00,7.931,1010.4,35.2,26.7,9.8,18.3,59.3
2018-12-01 05:50:00,8.481,1010.5,38.0,29.5,11.3,18.6,58.6
2018-12-01 06:00:00,8.039,1010.5,36.6,26.7,9.8,18.7,58.1
2018-12-01 06:10:00,7.538,1010.6,33.8,23.9,5.6,18.6,58.3
2018-12-01 06:20:00,7.876,1010.6,36.6,25.3,7.0,18.3,59.6
2018-12-01 06:30:00,7.746,1010.7,33.8,23.9,5.6,18.2,59.7
2018-12-01 06:40:00,7.641,1010.8,35.2,25.3,7.0,18.1,60.3
2018-12-01 06:50:00,8.183,1010.8,38.0,26.7,9.8,18.2,59.8
2018-12-01 07:00:00,8.414,1010.9,45.0,30.9,12.7,18.3,59.4
2018-12-01 07:10:00,8.228,1011.0,45.0,30.9,15.5,18.3,59.4
2018-12-01 07:20:00,8.505,1011.1,42.2,28.1,9.8,18.3,59.9
2018-12-01 07:30:00,8.485,1011.4,42.2,28.1,11.3,18.0,60.9
2018-12-01 07:40:00,8.596,1011.5,39.4,26.7,11.3,18.2,60.4
2018-12-01 07:50:00,8.886,1011.6,42.2,29.5,15.5,18.6,59.8
2018-12-01 08:00:00,8.549,1011.6,46.4,32.3,18.3,19.0,59.2
2018-12-01 08:10:00,8.537,1011.6,47.8,32.3,19.7,19.2,58.3
2018-12-01 08:20:00,8.481,1011.8,45.0,30.9,21.1,19.4,58.0
2018-12-01 08:30:00,8.213,1011.9,42.2,29.5,16.9,19.9,57.3
2018-12-01 08:40:00,8.233,1012.0,39.4,26.7,15.5,20.4,56.2
2018-12-01 08:50:00,8.657,1012.0,42.2,29.5,18.3,20.9,54.7
2018-12-01 09:00:00,9.31,1012.1,46.4,33.8,19.7,21.3,53.6
